Time,Size,Protocol,Source,Destination,Attack
1.00325,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00407,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00489,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00571,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00653,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00735,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00817,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00899,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.00981,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01063,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01144,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01226,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01308,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0139,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01472,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01554,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01636,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01718,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.018,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01882,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.01964,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02046,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02128,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02209,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02291,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02373,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02455,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02537,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02619,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02701,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02783,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02865,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.02947,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03029,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03111,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03192,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03274,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03356,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03438,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0352,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03602,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03684,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03766,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.03848,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0393,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04012,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04094,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04176,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04257,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04339,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04421,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04503,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04585,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04667,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04749,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04831,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04913,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.04995,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05077,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05159,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0524,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05322,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05404,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05486,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05568,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0565,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05732,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05814,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05896,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.05978,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0606,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06142,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06224,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06305,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06387,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06469,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06551,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06633,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06715,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06797,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06879,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.06961,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07043,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07125,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07207,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07288,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.0737,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07452,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07534,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
1.07616,512,UDP,02-06-0a:01:01:01:01:c0,VICTIM,CYBERESPIONAGE
