Time,Size,Protocol,Source,Destination,Attack
1.01213,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.01364,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0147,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.01606,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0173,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.01833,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.01975,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.02119,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.02241,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.024,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.02532,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.02653,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0279,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.02984,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03093,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03208,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03355,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03503,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03608,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03742,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03857,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.03988,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04097,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04199,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04316,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04484,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04597,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04704,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04875,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.04987,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0511,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05242,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05374,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05497,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05634,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05748,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05882,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.05998,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0611,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06226,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06385,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06543,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06648,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06791,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.06907,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07016,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07148,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07281,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07452,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.0759,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07764,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
1.07909,128,UDP,02-06-0a:02:00:01:01:c0,SERVER,DATAMINING
