Time,PacketSize,Protocol,Sender,Receiver
1.00782,46,2054,01-06-00:00:00:00:00:01,01-06-ff:ff:ff:ff:ff:ff
1.00883,46,2054,01-06-00:00:00:00:00:03,01-06-00:00:00:00:00:01
1.00988,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01142,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01251,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01389,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01517,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01623,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01768,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.01915,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.0204,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02202,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02338,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02462,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02601,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02798,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.02911,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03029,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03179,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.0333,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03438,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03576,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03694,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03827,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.03939,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.04044,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.04164,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.04336,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
