Time,Size,Protocol,Source,Destination,Attack
1.00197,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00251,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00306,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00361,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00415,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.0047,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00524,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00579,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00634,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00688,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00743,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00798,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00852,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00907,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.00961,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01016,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01071,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01125,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.0118,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01234,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01289,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01344,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01398,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01453,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01507,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
1.01562,1024,UDP,02-06-0a:04:00:01:01:c0,VICTIM,RANSOMWARE
